feature_id	repo	category	environment	signal_type	signal_locator	current_kpi	proposed_kpi_name	proposed_kpi_threshold	proposed_kpi_window	status	notes
F-FGOV-001	Factory	governance	prod	audit_log	.github/scripts/workflow-health-warden.mjs:204	none	Tier-1 Red Time	>1h	rolling 24h	LIVE_NO_KPI	Warden code uses >1h; earlier docs claimed >4h
F-FGOV-002	Factory	governance	prod	workflow	.github/workflows/workflow-health-warden.yml:9	Tier-1 Red Time	T1 Pushover P1	per-run	immediate	LIVE_WITH_KPI	Daily 13:13 UTC; T1 red>1h → P1 + priority/p0 issue
F-FGOV-003	Factory	governance	prod	audit_log	.github/scripts/workflow-health-warden.mjs:152	none	T3 Quarantine Count	>=10 fails	rolling 7d	LIVE_NO_KPI	T3 quarantine fires at 10 fails; count of currently disabled
F-FGOV-004	Factory	governance	prod	workflow	.github/workflows/workflow-health-warden.yml	none	T3 Disable Action	per disable	immediate	LIVE_WITH_KPI	gh workflow disable + workflow-quarantined issue + P2
F-FGOV-005	Factory	governance	prod	audit_log	.github/scripts/workflow-health-warden.mjs:172	none	Tier-2 Red Time	>24h	rolling 24h	LIVE_NO_KPI	T2: red>24h → priority/p1 issue (no Pushover)
F-FGOV-006	Factory	governance	prod	workflow	.github/workflows/governance-audit.yml	none	Governance Audit Completeness	100% audit lines ingested	monthly	LIVE_NO_KPI	1st of month 13:00 UTC; rolls up *_AUDIT lines
F-FGOV-007	Factory	governance	prod	audit_log	.github/scripts/governance-audit.mjs:54	none	Governance Audit Signal Coverage	all categories	monthly	NOT_INSTRUMENTED	5 AUDIT_PREFIXES defined; no coverage KPI
F-FGOV-008	Factory	governance	prod	workflow	.github/workflows/coherence-check.yml	none	Coherence Drift	0 violations	per run	LIVE_NO_KPI	14:14 UTC daily; 7 invariants I1-I7
F-FGOV-009	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:126	none	Registry Coverage Forward	100% of workflows in REGISTRY	daily	LIVE_NO_KPI	I1: now active since REGISTRY.md landed (PR #919)
F-FGOV-010	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:148	none	Registry Coverage Reverse	100% rows point to real files	daily	LIVE_NO_KPI	I2: REGISTRY.md rows vs filesystem
F-FGOV-011	Factory	governance	prod	workflow	.github/workflows/REGISTRY.md	none	Workflow Tier Classification	100% coverage	at merge	LIVE_WITH_KPI	Landed 2026-05-23 PR #919; T1/T2/T3/TR/TM tiers
F-FGOV-012	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:170	none	Concurrency Coverage	100% push/PR workflows have concurrency:	daily	LIVE_NO_KPI	I3: top-level concurrency block; new workflow-concurrency-check.yml gates PRs
F-FGOV-013	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:186	none	Kill-Switch Coverage	100% state-mutating scripts check pause	daily	LIVE_NO_KPI	I4: state-mutation pattern detection
F-FGOV-014	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:200	none	Notify/Paging Coverage	100% state-mutating scripts import notify	daily	LIVE_NO_KPI	I5: must import notify or call Pushover directly
F-FGOV-015	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:218	none	Documentation Link Validity	100% links resolve	daily	LIVE_NO_KPI	I6: scans docs/decisions + docs/runbooks markdown links
F-FGOV-016	Factory	governance	prod	audit_log	.github/scripts/coherence-check.mjs:241	none	Automation Pause State	.github/automation-paused absent	daily	LIVE_NO_KPI	I7: kill-switch file must never be on main
F-FGOV-017	Factory	governance	prod	workflow	.github/workflows/workflow-budget-check.yml	Budget Gate Compliance	100% with retire/exception	at PR	LIVE_WITH_KPI	Emits WORKFLOW_BUDGET_AUDIT; blocks non-compliant PRs
F-FGOV-018	Factory	governance	prod	audit_log	.github/scripts/workflow-budget-check.mjs	none	Workflow Inventory Growth	no growth without exception	per PR	LIVE_NO_KPI	Prevents workflow count growth without CODEOWNER exception
F-FGOV-019	Factory	governance	prod	workflow	.github/workflows/snapshot-pr-auto-merge.yml	Snapshot Auto-Merge Rate	>=90% success	per snapshot	LIVE_WITH_KPI	Validates against snapshot-paths.yml; auto-approves+merges
F-FGOV-020	Factory	governance	prod	workflow	.github/snapshot-paths.yml	none	Snapshot Allowlist	100% matched	at merge	LIVE_NO_KPI	No rejection-rate instrumentation
F-FGOV-021	Factory	governance	prod	workflow	.github/workflows/auto-merge-approved-prs.yml	none	Auto-Merge Approval Gate	APPROVED + no opt-out labels	at PR event	LIVE_NO_KPI	Event-driven not cron
F-FGOV-022	Factory	governance	prod	workflow	.github/workflows/cohesion-courtesy-check.yml	none	Service Coherence Check	no credential drift	every 3h	NOT_INSTRUMENTED	Sentry/Stripe/Pushover/GCP coherence; no audit lines
F-FGOV-023	Factory	governance	prod	workflow	.github/workflows/doc-freshness-audit.yml	none	Documentation Staleness	within cadence	weekly Mon 9am UTC	LIVE_NO_KPI	Opens docs:debt issues; no Pushover
F-FGOV-024	Factory	governance	prod	workflow	.github/workflows/automation-reliability-loop.yml	none	Daily Failure Digest	non-success summary	daily 01:15 UTC	LIVE_NO_KPI	Publishes step summary; no issue/Pushover
